"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"mine","/maɪn/","pron. 【常见】我的（名词性物主代词）；n. 【常见】矿；地雷；v. 【常见】采矿","原生基础词，古英语 mīn（我的），无词根拆分","This book is mine.","这本书是我的。"
"making","/ˈmeɪkɪŋ/","v. 【常见】制造；做（make 的现在分词）；n. 【常见】制作；形成","make（制造）+ 后缀-ing（现在分词后缀）","She is making dinner.","她正在做晚饭。"
"body","/ˈbɒdi/","n. 【常见】身体；尸体；主体；团体","原生基础词，古英语 bodig（身体），无词根拆分","Exercise is good for your body.","锻炼对你的身体有好处。"
"afraid","/əˈfreɪd/","adj. 【常见】害怕的；担心的；恐怕","前缀a-（在…状态）+ afraid（害怕），源自古英语 afrǣded","I'm afraid I can't come.","恐怕我来不了。"
"sleep","/sliːp/","v. 【常见】睡；睡觉；n. 【常见】睡眠；睡觉","原生基础词，古英语 slǣpan，无词根拆分","I need to sleep.","我需要睡觉。"
"chance","/tʃɑːns/","n. 【常见】机会；可能性；冒险；v. 【常见】冒险；碰巧","原生基础词，源自拉丁语 cadentia（落下），无词根拆分","Give me a chance.","给我一个机会。"
"dear","/dɪə(r)/","adj. 【常见】亲爱的；珍贵的；int. 【常见】哎呀","原生基础词，古英语 dēore（珍贵的），无词根拆分","Dear friends, thank you all.","亲爱的朋友们，谢谢你们。"
"quite","/kwaɪt/","adv. 【常见】相当；很；完全；非常","原生基础词，古英语 cwīt（自由的），无词根拆分","It's quite good.","相当不错。"
"four","/fɔː(r)/","num. 【常见】四；四个","原生基础词，古英语 fēower，无词根拆分","There are four seasons.","有四个季节。"
"anyway","/ˈeniweɪ/","adv. 【常见】无论如何；不管怎样；反正","any（任何）+ way（方式）","Anyway, we should try.","无论如何，我们应该试试。"
"close","/kləʊz/","v. 【常见】关；关闭；结束；adj. 【常见】近的；亲密的","原生基础词，古英语 clōsian，无词根拆分","Close the door, please.","请关上门。"
"ain","/eɪnt/","【常见】am not / is not / are not 的非正式缩略形式","am/are/is + not 的非正式缩略形式","I ain't going nowhere.","我哪儿也不去。"
"party","/ˈpɑːti/","n. 【常见】聚会；政党；当事人；v. 【常见】开派对","原生基础词，源自拉丁语 partīre（分开），无词根拆分","We are having a party.","我们在开派对。"
"fun","/fʌn/","n. 【常见】乐趣；娱乐；玩笑；adj. 【常见】有趣的","原生基础词，无词根拆分","We had a lot of fun.","我们玩得很开心。"
"against","/əˈɡenst/","prep. 【常见】反对；倚在；对抗；预防","a-（在…状态）+ gainst（对面的）","I am against this idea.","我反对这个想法。"
"word","/wɜːd/","n. 【常见】词；单词；话语；消息；v. 【常见】措辞；表达","原生基础词，古英语 word，无词根拆分","What does this word mean?","这个单词是什么意思？"
"comes","/kʌmz/","v. 【常见】来（come 的第三人称单数）","come（来）+ 后缀-s（第三人称单数后缀）","He comes from China.","他来自中国。"
"important","/ɪmˈpɔːtnt/","adj. 【常见】重要的；重大的；有地位的","前缀im-（进入）+ 词根port-（搬运）+ 后缀-ant（形容词后缀）","This is very important.","这非常重要。"
"set","/set/","v. 【常见】放置；设置；设定；n. 【常见】一套；一组；adj. 【常见】固定的","原生基础词，古英语 settan，无词根拆分","Set the table, please.","请摆好餐桌。"
"shall","/ʃæl/","aux. 【常见】将要；应该；会（用于第一人称）","原生基础词，古英语 sceal（必须），无词根拆分","I shall return.","我会回来的。"
