英文单词,音标,中文释义,语素（前缀/词根/后缀）及含义,英语例句,例句翻译
its,/ɪts/,pron. 【常见】它的（it 的所有格）,it（它）+ 后缀-s（所有格后缀）,The dog wagged its tail.,狗摇了摇它的尾巴。
whatever,/wɒtˈevə(r)/,pron. 【常见】无论什么；任何事物；adv. 【常见】不管怎样,what（什么）+ ever（无论）,"Whatever you say, I believe you.",无论你说什么，我都相信你。
eyes,/aɪz/,n. 【常见】眼睛（eye 的复数）；视力；目光,eye（眼睛）+ 后缀-s（复数后缀）,She has beautiful eyes.,她有漂亮的眼睛。
shut,/ʃʌt/,v. 【常见】关上；闭上；adj. 【常见】关闭的,原生基础词，古英语 scyttan（关上），无词根拆分,"Shut the door, please.",请关上门。
aren,/ɑːnt/,【常见】不是；are not 的缩略形式（aren't = are not）,are（是）+ not（不）的缩略形式,"You aren't serious, are you?",你不是认真的，对吧？
hit,/hɪt/,v. 【常见】打；碰撞；命中；n. 【常见】打击；成功,原生基础词，古英语 hittan（遇到），无词根拆分,He hit the ball.,他击中了球。
taking,/ˈteɪkɪŋ/,v. 【常见】拿；取；花费（take 的现在分词）,take（拿）+ 后缀-ing（现在分词后缀）,I'm taking a break.,我正在休息。
easy,/ˈiːzi/,adj. 【常见】容易的；舒适的；adv. 【常见】容易地,原生基础词，古英语 ēaþe（容易），无词根拆分,This is easy.,这很容易。
times,/taɪmz/,n. 【常见】次数；时代；倍数（time 的复数）；prep. 【常见】乘以,time（时间/次数）+ 后缀-s（复数后缀）,I've been there many times.,我去过那里很多次。
check,/tʃek/,v. 【常见】检查；核实；控制；n. 【常见】检查；支票,原生基础词，源自波斯语 shāh（国王），无词根拆分,Check your answers carefully.,仔细检查你的答案。
hands,/hændz/,n. 【常见】手（hand 的复数）；v. 递交（hand 的第三人称单数）,hand（手）+ 后缀-s（复数/第三人称单数后缀）,Wash your hands before eating.,吃饭前洗手。
minutes,/ˈmɪnɪts/,n. 【常见】分钟（minute 的复数）；会议记录,minute（分钟）+ 后缀-s（复数后缀）,I'll be ready in five minutes.,我五分钟后准备好。
deal,/diːl/,v. 【常见】处理；交易；分配；n. 【常见】交易；协议,原生基础词，古英语 dǣlan（分配），无词根拆分,Let's make a deal.,我们做个交易吧。
different,/ˈdɪfrənt/,adj. 【常见】不同的；有差异的；各不相同的,differ（不同）+ 后缀-ent（形容词后缀）,We have different opinions.,我们有不同的看法。
means,/miːnz/,v. 【常见】意味着（mean 的第三人称单数）；n. 【常见】方法；手段,mean（意味着）+ 后缀-s（第三人称单数/名词复数后缀）,Success means hard work.,成功意味着努力工作。
point,/pɔɪnt/,n. 【常见】点；要点；目的；v. 【常见】指向；表明,原生基础词，源自拉丁语 punctum（点），无词根拆分,That's a good point.,那是个好观点。
inside,/ˌɪnˈsaɪd/,prep. 【常见】在…里面；adv. 【常见】在里面；n. 【常见】内部,in（在…里）+ side（边）,"Come inside, it's warm.",进来，里面暖和。
makes,/meɪks/,v. 【常见】制造；做；使（make 的第三人称单数）,make（制造）+ 后缀-s（第三人称单数后缀）,She makes coffee every morning.,她每天早上煮咖啡。
asked,/ɑːskt/,v. 【常见】问；询问；请求（ask 的过去式及过去分词）,ask（问）+ 后缀-ed（过去式/过去分词后缀）,I asked him a question.,我问了他一个问题。
somebody,/ˈsʌmbədi/,pron. 【常见】某人；有人；重要人物,some（一些）+ body（人）,Somebody is knocking at the door.,有人在敲门。
