英文单词,音标,中文释义,语素（前缀/词根/后缀）及含义,英语例句,例句翻译
an,/ən/,art. 【常见】一（个）；每一（个）,原生基础词，a 在元音音素前的变体，无词根拆分,I have an apple.,我有一个苹果。
okay,/əʊˈkeɪ/,adj. 【常见】好的；可以；n. 【常见】同意；批准,原生基础词，缩略口语词（OK），无词根拆分,Everything is okay.,一切都很好。
back,/bæk/,n. 【常见】背部；后面；adv. 【常见】向后；回；v. 【常见】支持；后退,原生基础词，古英语 bæc，无词根拆分,Please come back.,请回来。
look,/lʊk/,v. 【常见】看；显得；寻找；n. 【常见】看；外表,原生基础词，古英语 lōcian，无词根拆分,Look at the blackboard.,看黑板。
us,/ʌs/,pron. 【常见】我们（宾格）,原生基础词，古英语 ūs，无词根拆分,Please help us.,请帮助我们。
would,/wʊd/,aux. 【常见】将；会；愿意（will 的过去式）,原生基础词，古英语 wolde（will的过去式），无词根拆分,I would like to go.,我想去。
them,/ðem/,pron. 【常见】他们；她们；它们（宾格）,原生基础词，古英语 þǣm，无词根拆分,I love them.,我爱他们。
where,/weə(r)/,adv. 【常见】在哪里；conj. 【常见】在…的地方,原生基础词，古英语 hwǣr，无词根拆分,Where do you live?,你住在哪里？
were,/wə(r)/,v. 【常见】是；在（be 的过去式，复数及第二人称）,原生基础词，古英语 wǣre，无词根拆分,They were happy.,他们很开心。
take,/teɪk/,v. 【常见】拿；取；花费；乘坐；拍照,原生基础词，古英语 tacan，无词根拆分,I take a bus to work.,我坐公交车去上班。
then,/ðen/,adv. 【常见】当时；然后；那么；adj. 【常见】当时的,原生基础词，古英语 þanne，无词根拆分,I was young then.,我当时还年轻。
had,/hæd/,v. 【常见】有；吃；经历（have 的过去式及过去分词）,原生基础词，古英语 hæfde（have的过去式），无词根拆分,He had a car.,他有过一辆车。
or,/ɔː(r)/,conj. 【常见】或者；还是；否则,原生基础词，古英语 oþþe，无词根拆分,Tea or coffee?,茶还是咖啡？
been,/biːn/,v. 【常见】是；在（be 的过去分词）,原生基础词，古英语 bēon（be的过去分词），无词根拆分,I have been to Beijing.,我去过北京。
our,/aʊə(r)/,pron. 【常见】我们的,原生基础词，古英语 ūre，无词根拆分,This is our home.,这是我们的家。
gonna,/ˈɡɒnə/,【常见】计划/打算做某事；预判马上要发生,原生基础词，going to 的口语变体，无词根拆分,I'm gonna go now.,我要走了。
tell,/tel/,v. 【常见】告诉；讲述；吩咐；辨别,原生基础词，古英语 tellan，无词根拆分,Please tell me the truth.,请告诉我真相。
really,/ˈriːəli/,adv. 【常见】真正地；确实；非常,real（真实的）+ 后缀-ly（副词后缀）,I really like it.,我真的很喜欢它。
man,/mæn/,n. 【常见】男人；人；人类；男子汉,原生基础词，古英语 mann，无词根拆分,He is a tall man.,他是一个高个子男人。
some,/sʌm/,adj. 【常见】一些；若干；pron. 【常见】一些；某些,原生基础词，古英语 sum，无词根拆分,I need some water.,我需要一些水。
