"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"story","/ˈstɔːri/","n. 【常见】故事；传说；楼层；v. 【常见】编故事","原生基础词，源自拉丁语 historia（历史），无词根拆分","Tell me a story.","给我讲个故事。"
"number","/ˈnʌmbə(r)/","n. 【常见】数字；号码；数量；v. 【常见】编号；总计","原生基础词，源自拉丁语 numerus（数字），无词根拆分","What's your phone number?","你的电话号码是多少？"
"daughter","/ˈdɔːtə(r)/","n. 【常见】女儿","原生基础词，古英语 dohtor，无词根拆分","She is my eldest daughter.","她是我的大女儿。"
"least","/liːst/","adj. 【常见】最少的；最小的；adv. 【常见】最少；最不","原生基础词，古英语 lǣst（little的最高级），无词根拆分","He has the least money.","他的钱最少。"
"waiting","/ˈweɪtɪŋ/","v. 【常见】等待（wait 的现在分词）；n. 【常见】等待","wait（等待）+ 后缀-ing（现在分词后缀）","I'm waiting for you.","我在等你。"
"hurt","/hɜːt/","v. 【常见】伤害；疼痛；损害；n. 【常见】伤害；痛苦","原生基础词，古英语 hyrtan（伤害），无词根拆分","My leg hurts.","我的腿疼。"
"wish","/wɪʃ/","v. 【常见】希望；祝愿；n. 【常见】愿望；希望","原生基础词，古英语 wȳscan，无词根拆分","I wish you a happy birthday.","祝你生日快乐。"
"moment","/ˈməʊmənt/","n. 【常见】片刻；瞬间；时刻；重要性","原生基础词，源自拉丁语 momentum（运动），无词根拆分","Just a moment, please.","请稍等片刻。"
"fight","/faɪt/","v. 【常见】战斗；斗争；打架；n. 【常见】战斗；斗争","原生基础词，古英语 feohtan，无词根拆分","Don't fight with each other.","别打架。"
"week","/wiːk/","n. 【常见】星期；周；工作日","原生基础词，古英语 wice，无词根拆分","I will see you next week.","下周见。"
"husband","/ˈhʌzbənd/","n. 【常见】丈夫","原生基础词，古英语 hūsbōnda（家主），无词根拆分","My husband is a doctor.","我丈夫是医生。"
"girls","/ɡɜːlz/","n. 【常见】女孩们（girl 的复数）","girl（女孩）+ 后缀-s（复数后缀）","The girls are playing.","女孩们在玩耍。"
"rest","/rest/","v. 【常见】休息；停放；依靠；n. 【常见】休息；剩余部分","原生基础词，古英语 ræst（休息），无词根拆分","I need to rest.","我需要休息。"
"married","/ˈmærid/","adj. 【常见】已婚的；婚姻的；v. 【常见】结婚（marry 的过去分词）","marry（结婚）+ 后缀-ed（过去分词后缀）","She is married.","她已婚。"
"fire","/ˈfaɪə(r)/","n. 【常见】火；火灾；v. 【常见】开火；解雇","原生基础词，古英语 fȳr，无词根拆分","Fire is dangerous.","火是危险的。"
"game","/ɡeɪm/","n. 【常见】游戏；比赛；猎物；adj. 【常见】勇敢的","原生基础词，古英语 gamen（游戏），无词根拆分","Let's play a game.","我们玩个游戏吧。"
"nobody","/ˈnəʊbədi/","pron. 【常见】没有人；谁也不；n. 【常见】小人物","no（没有）+ body（人）","Nobody knows the truth.","没有人知道真相。"
"mr","/ˈmɪstə(r)/","n. 【常见】先生（Mister 的缩写）","Mister 的缩写形式，无词根拆分","Mr. Smith is our teacher.","史密斯先生是我们的老师。"
"children","/ˈtʃɪldrən/","n. 【常见】孩子们（child 的复数）","child（小孩）+ 复数形态变化（-ren）","The children are playing outside.","孩子们在外面玩。"
"side","/saɪd/","n. 【常见】侧面；一边；方面；v. 【常见】支持","原生基础词，古英语 sīde，无词根拆分","Which side do you prefer?","你更喜欢哪一边？"
