英文单词,音标,中文释义,语素（前缀/词根/后缀）及含义,英语例句,例句翻译
everyone,/ˈevriwʌn/,pron. 【常见】每人；人人；所有人,every（每个）+ one（人）,Everyone is here.,每个人都在这里。
run,/rʌn/,v. 【常见】跑；经营；运行；流动 n. 奔跑；运行,原生基础词，古英语 rinnan，无词根拆分,He runs fast.,他跑得快。
wanna,/ˈwɒnə/,v. 【常见】想要（want to 的口语缩略形式）,want（想要）+ to（不定式）的缩略形式,I wanna go home.,我想回家。
hard,/hɑːd/,adj. 【常见】困难的；硬的；adv. 【常见】努力地；猛烈地,原生基础词，古英语 heard（硬的），无词根拆分,Study hard.,努力学习。
ah,/ɑː/,int. 【常见】啊（表示理解、惊讶或满足）,原生基础词，拟声词，无词根拆分,"Ah, I see.",啊，我明白了。
alone,/əˈləʊn/,adj. 【常见】独自的；单独的；adv. 【常见】独自地,all（全部）+ one（一个）,I want to be alone.,我想一个人呆着。
myself,/maɪˈself/,pron. 【常见】我自己；亲自,my（我的）+ self（自己）,I hurt myself.,我伤到了自己。
school,/skuːl/,n. 【常见】学校；学院；上学；学派,原生基础词，源自希腊语 skholē（闲暇），无词根拆分,I go to school every day.,我每天去上学。
gone,/ɡɒn/,v. 【常见】去（go 的过去分词）；adj. 【常见】离去的；消失的,go（去）+ 后缀-ne（过去分词后缀）,He is gone.,他已经走了。
um,/əm/,int. 【常见】嗯（表示犹豫或思考）,原生基础词，拟声词，无词根拆分,"Um, let me think.",嗯，让我想想。
end,/end/,n. 【常见】末端；结束；v. 【常见】结束；终止,原生基础词，古英语 ende，无词根拆分,The movie has a good ending.,这部电影有个好结局。
saying,/ˈseɪɪŋ/,v. 【常见】说（say 的现在分词）；n. 【常见】谚语；格言,say（说）+ 后缀-ing（现在分词后缀）,What are you saying?,你在说什么？
phone,/fəʊn/,n. 【常见】电话；手机；v. 【常见】打电话,telephone 的缩写,Please call me on my phone.,请打我的电话。
play,/pleɪ/,v. 【常见】玩；演奏；扮演；比赛 n. 戏剧；游戏,原生基础词，古英语 plegian，无词根拆分,Children like to play.,孩子们喜欢玩。
looks,/lʊks/,v. 【常见】看（look 的第三人称单数）；n. 【常见】外表；相貌,look（看）+ 后缀-s（第三人称单数/复数后缀）,She looks beautiful.,她看起来很漂亮。
couldn,/ˈkʊdnt/,v. 【常见】不能；无法；不可能；could not 的缩略形式（couldn't = could not）,could（能）+ not（不）的缩略形式,I couldn't find my keys.,我找不到我的钥匙了。
fucking,/ˈfʌkɪŋ/,adv. 【常见】他妈的（粗俗语，加强语气）,fuck（性交）+ 后缀-ing（现在分词后缀）,What are you fucking doing?,你他妈在干什么？
problem,/ˈprɒbləm/,n. 【常见】问题；难题；困难,原生基础词，源自希腊语 problema（抛出的问题），无词根拆分,What's the problem?,有什么问题？
few,/fjuː/,adj. 【常见】很少的；少数的；pron. 【常见】少数人/物,原生基础词，古英语 fēawe，无词根拆分,Few people know the truth.,很少有人知道真相。
friends,/frendz/,n. 【常见】朋友们（friend 的复数）,friend（朋友）+ 后缀-s（复数后缀）,My friends are coming.,我的朋友们要来了。
