"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"mm-hmm","/mˈhmm/","int. 【常见】嗯（表示同意或肯定）","原生基础词，拟声词，无词根拆分","Mm-hmm, I understand.","嗯，我明白了。"
"within","/wɪˈðɪn/","prep. 【常见】在…之内；在…内部；adv. 【常见】在内部","with（和）+ in（在…里）","Please stay within the lines.","请待在线内。"
"card","/kɑːd/","n. 【常见】卡片；名片；纸牌；v. 【常见】检查身份证","原生基础词，源自希腊语 chartēs（纸），无词根拆分","I received a birthday card.","我收到了一张生日贺卡。"
"fly","/flaɪ/","v. 【常见】飞；飞行；乘飞机；n. 【常见】苍蝇","原生基础词，古英语 flēogan（飞），无词根拆分","Birds can fly.","鸟会飞。"
"ben","/ben/","n. 【常见】本（男子名，Benjamin 的昵称）","Benjamin 的昵称，无词根拆分","Ben is my friend.","本是我的朋友。"
"girlfriend","/ˈɡɜːlfrend/","n. 【常见】女朋友；女伴","girl（女孩）+ friend（朋友）","He has a new girlfriend.","他有一个新女友。"
"laugh","/lɑːf/","v. 【常见】笑；发笑；n. 【常见】笑声","原生基础词，古英语 hliehhan（笑），无词根拆分","She laughs at the joke.","她听了笑话笑了。"
"smell","/smel/","v. 【常见】闻；嗅；有…气味；n. 【常见】气味","原生基础词，古英语 smellan（闻），无词根拆分","This flower smells nice.","这花闻起来很香。"
"broken","/ˈbrəʊkən/","v. 【常见】打破（break 的过去分词）；adj. 【常见】破碎的；破损的","break（打破）+ 后缀-en（过去分词后缀）","The window is broken.","窗户破了。"
"mum","/mʌm/","n. 【常见】妈妈（英式非正式）","mother 的口语变体，无词根拆分","My mum is a teacher.","我妈妈是老师。"
"honest","/ˈɒnɪst/","adj. 【常见】诚实的；正直的；坦率的","原生基础词，源自拉丁语 honestus（受尊敬的），无词根拆分","To be honest, I don't like it.","说实话，我不喜欢。"
"often","/ˈɒfn/","adv. 【常见】经常；常常；往往","原生基础词，古英语 oft，无词根拆分","I often go to the park.","我经常去公园。"
"starting","/ˈstɑːtɪŋ/","v. 【常见】开始（start 的现在分词）","start（开始）+ 后缀-ing（现在分词后缀）","I'm starting a new job.","我要开始一份新工作。"
"calls","/kɔːlz/","v. 【常见】叫；打电话（call 的第三人称单数）；n. 【常见】电话（call 的复数）","call（叫/打电话）+ 后缀-s（第三人称单数/复数后缀）","She calls me every day.","她每天给我打电话。"
"y","/waɪ/","n. 【常见】字母 Y；n. 【常见】为什么（why 的口语变体）","原生基础词，字母名，无词根拆分","Y is the 25th letter.","Y是第25个字母。"
"spent","/spent/","v. 【常见】花费（spend 的过去式及过去分词）","spend（花费）+ 过去式形态变化，无词根拆分","I spent all my money.","我花光了所有的钱。"
"third","/θɜːd/","adj. 【常见】第三的；n. 【常见】第三；三分之一","three（三）+ 后缀-d（序数词后缀）","She is in third grade.","她在三年级。"
"english","/ˈɪŋɡlɪʃ/","n. 【常见】英语；英格兰人；adj. 【常见】英国的","England（英国）+ 后缀-ish（形容词后缀）","I speak English.","我说英语。"
"visit","/ˈvɪzɪt/","v. 【常见】访问；参观；探望；n. 【常见】访问；参观","原生基础词，源自拉丁语 visere（去看），无词根拆分","I want to visit Beijing.","我想去北京旅游。"
"mama","/məˈmɑː/","n. 【常见】妈妈（儿童用语）","mother 的儿童用语，无词根拆分","Mama, I love you.","妈妈，我爱你。"
