"英文单词","音标","中文释义","语素（前缀/词根/后缀）及含义","英语例句","例句翻译"
"stand","/stænd/","v. 【常见】站；站立；忍受；处于；n. 【常见】立场；看台","原生基础词，古英语 standan，无词根拆分","Please stand up.","请站起来。"
"read","/riːd/","v. 【常见】读；阅读；看懂；朗读","原生基础词，古英语 rǣdan，无词根拆分","I read a book every day.","我每天读一本书。"
"though","/ðəʊ/","conj. 【常见】虽然；尽管；adv. 【常见】不过；然而","原生基础词，古英语 þēah，无词根拆分","Though it rained, we went out.","虽然下雨了，我们还是出去了。"
"cut","/kʌt/","v. 【常见】切；割；剪；减少；n. 【常见】切口；削减","原生基础词，古英语 cyttan，无词根拆分","Please cut the cake.","请切蛋糕。"
"started","/ˈstɑːtɪd/","v. 【常见】开始（start 的过去式及过去分词）","start（开始）+ 后缀-ed（过去式/过去分词后缀）","We started the meeting.","我们开始了会议。"
"sister","/ˈsɪstə(r)/","n. 【常见】姐妹；护士；修女","原生基础词，古英语 sweostor，无词根拆分","She is my younger sister.","她是我的妹妹。"
"supposed","/səˈpəʊzd/","v. 【常见】猜想（suppose 的过去式及过去分词）；adj. 【常见】所谓的；应该的","suppose（猜想）+ 后缀-ed（过去式/过去分词后缀）","I'm supposed to be there.","我应该在那里。"
"between","/bɪˈtwiːn/","prep. 【常见】在…之间；adv. 【常见】在中间","be（在）+ tween（两个）","The book is between the two pens.","书在两只笔之间。"
"child","/tʃaɪld/","n. 【常见】小孩；儿童；儿子/女儿","原生基础词，古英语 cild，无词根拆分","The child is playing.","孩子在玩耍。"
"goes","/ɡəʊz/","v. 【常见】去（go 的第三人称单数）","go（去）+ 后缀-es（第三人称单数后缀）","He goes to school by bus.","他坐公交车去上学。"
"hours","/ˈaʊəz/","n. 【常见】小时（hour 的复数）；工作时间","hour（小时）+ 后缀-s（复数后缀）","I work for eight hours a day.","我一天工作八小时。"
"speak","/spiːk/","v. 【常见】说；讲；发言；表达","原生基础词，古英语 sprecan，无词根拆分","He speaks English well.","他英语说得很好。"
"women","/ˈwɪmɪn/","n. 【常见】女人（woman 的复数）","woman（女人）+ 复数形态变化","Women are strong.","女人是坚强的。"
"behind","/bɪˈhaɪnd/","prep. 【常见】在…后面；adv. 【常见】在后面；落后","be（在）+ hind（后面）","The car is behind the house.","汽车在房子后面。"
"almost","/ˈɔːlməʊst/","adv. 【常见】几乎；差不多","all（全部）+ most（最多）","I almost missed the bus.","我差点错过了公交车。"
"truth","/truːθ/","n. 【常见】事实；真相；真实性","true（真实的）+ 后缀-th（名词后缀）","Tell me the truth.","告诉我真相。"
"blood","/blʌd/","n. 【常见】血；血液；血统；v. 【常见】用血染","原生基础词，古英语 blōd，无词根拆分","Blood is thicker than water.","血浓于水。"
"able","/ˈeɪbl/","adj. 【常见】能…的；有能力的；出色的","原生基础词，源自拉丁语 habilis（能干的），无词根拆分","I am able to swim.","我会游泳。"
"lady","/ˈleɪdi/","n. 【常见】女士；夫人；贵族女子","原生基础词，古英语 hlǣfdige（面包揉制者），无词根拆分","Ladies and gentlemen.","女士们先生们。"
"anymore","/ˌeniˈmɔː(r)/","adv. 【常见】不再；（常用于否定句）再也","any（任何）+ more（更多）","I don't love you anymore.","我不再爱你了。"
